label,word,count
0,experience,21920
0,work,18585
0,team,17977
0,company,13043
0,business,11405
0,skills,10473
0,new,10087
0,development,9878
0,management,9000
0,services,8672
0,sales,8617
0,working,8300
0,time,8072
0,design,7614
0,customer,7423
0,marketing,7423
0,product,7358
0,years,7182
0,ability,6992
0,knowledge,6793
0,people,6610
0,service,6555
0,data,6491
0,web,6472
0,looking,6390
0,software,6329
0,environment,5900
0,based,5889
0,technology,5859
0,support,5791
1,work,952
1,experience,893
1,team,579
1,skills,514
1,engineering,505
1,company,489
1,project,448
1,solutions,431
1,time,429
1,management,415
1,industry,404
1,new,388
1,business,374
1,position,371
1,ability,355
1,products,347
1,support,345
1,customer,342
1,product,336
1,equipment,329
1,development,329
1,services,326
1,environment,324
1,systems,318
1,required,313
1,design,296
1,knowledge,294
1,service,289
1,data,288
1,working,286
